id,value,feed_id,created_at,lat,lon,ele
0F6JH1ECPESXBP6W952R47WDQF,2,2417160,2022-12-24 09:13:34 UTC,,,
0F6JH25VF3N8CZ14HP6KG2F02Z,2,2417160,2022-12-24 09:14:51 UTC,,,
0F6JH27FXB93RJWYN1ZBBDG1H5,3,2417160,2022-12-24 09:14:56 UTC,,,
0F6JH335CNSJBZSRSG85M7ZFCV,8,2417160,2022-12-24 09:16:27 UTC,,,
0F6JH34WK19SXDG9XA51A13AT0,7,2417160,2022-12-24 09:16:33 UTC,,,
0F6JH377FYME729BJ8W815NMP1,8,2417160,2022-12-24 09:16:40 UTC,,,
0F6JH38SE6X43ZD372MSR56AXB,7,2417160,2022-12-24 09:16:45 UTC,,,
0F6JH3S6DMGTYKVS5AM6AEFP42,1,2417160,2022-12-24 09:17:39 UTC,,,
0F6JH3TDETGH69NS9AJVZ93FB1,0,2417160,2022-12-24 09:17:43 UTC,,,
0F6JH3W9R8X2F0470JS0CQE96F,1,2417160,2022-12-24 09:17:49 UTC,,,
0F6JHB6GADH0QCSHFH9BPZVDYD,1,2417160,2022-12-24 09:30:37 UTC,,,
0F6JHB8CP6B3Z70HDXEZX0643G,0,2417160,2022-12-24 09:30:43 UTC,,,
0F6JHBW00R4A0NGMTA2VB399CD,1,2417160,2022-12-24 09:31:47 UTC,,,
0F6JHBYBFHXHA39CPGHET6PN3X,0,2417160,2022-12-24 09:31:55 UTC,,,
0F6JHC69P9FNQ2T49H9FJT62BR,1,2417160,2022-12-24 09:32:21 UTC,,,
0F6JJ1H6N9K2AK2JMQPBT0C9N6,1,2417160,2022-12-24 10:09:39 UTC,,,
0F6JJ1M898545J935T8TSAFJ8P,2,2417160,2022-12-24 10:09:49 UTC,,,
0F6JJ1RCE096P84VRY5Q4PH8VM,3,2417160,2022-12-24 10:10:02 UTC,,,
0F6JJ1SR3BPRRQ129K0X8VJK32,4,2417160,2022-12-24 10:10:07 UTC,,,
0F6JJ1W01WZ0EEXB73MHY6D42M,5,2417160,2022-12-24 10:10:14 UTC,,,
0F6JJ1X8KN89YNS607YS2F9H08,6,2417160,2022-12-24 10:10:18 UTC,,,
0F6JJ1Z0SNFP8VB61N01WX6HT5,7,2417160,2022-12-24 10:10:24 UTC,,,
0F6JJ20AZPS34XD3SBGE1XS7YE,6,2417160,2022-12-24 10:10:28 UTC,,,
0F6JJ225KX4RTEE9JGNY4MDFAZ,7,2417160,2022-12-24 10:10:34 UTC,,,
0F6JJ23GK897A3FDST6TJRH4WP,6,2417160,2022-12-24 10:10:39 UTC,,,
0F6JJ25RM2GV5YZ22VEWSXX9NM,7,2417160,2022-12-24 10:10:46 UTC,,,
0F6JJ2711GV58YKE29F93H9W5T,6,2417160,2022-12-24 10:10:50 UTC,,,
0F6JJ3H7AKZGACEFG1R7CX7R2Y,1,2417160,2022-12-24 10:13:08 UTC,,,
0F6JJ3JSBWMKRCBFQX3JBQTPYN,0,2417160,2022-12-24 10:13:14 UTC,,,
0F6TETJXJ8WMR7F4CR3ZDTRM35,1,2417160,2023-01-03 05:46:17 UTC,,,
0F6TETR57TCR26ZB47REXG05T4,2,2417160,2023-01-03 05:46:35 UTC,,,
0F6TETWPWZ6PQA9XPR1PGZB2HW,3,2417160,2023-01-03 05:46:50 UTC,,,
0F6TEV74AJJT77W9EBNK9P4Z8W,1,2417160,2023-01-03 05:47:24 UTC,,,
0F6TEV8T157PA4SPQD25864F64,2,2417160,2023-01-03 05:47:29 UTC,,,
0F6TEVAD3RW7R7ABDHD8T373E7,3,2417160,2023-01-03 05:47:34 UTC,,,
0F6TEVCXG9T7P4A8R88C586RND,4,2417160,2023-01-03 05:47:43 UTC,,,
0F6TEVEVTZYX6CK3S4ASFZFYX4,5,2417160,2023-01-03 05:47:49 UTC,,,
0F6TEVNPN0PBF4JTTFVPYH2HXE,6,2417160,2023-01-03 05:48:11 UTC,,,
0F6TEWB8Q14DHK1CA69DBTY4HF,1,2417160,2023-01-03 05:49:22 UTC,,,
0F6TEWENF3P905XS28Y5CH6VMK,2,2417160,2023-01-03 05:49:33 UTC,,,
0F6TEWG56HCJCVRFMSNZTS94R4,1,2417160,2023-01-03 05:49:38 UTC,,,
0F6TEWNNMSGP9WHV617V711RVQ,2,2417160,2023-01-03 05:49:56 UTC,,,
0F6TEWQEYVEQ5HJPCXA5HW5M6C,3,2417160,2023-01-03 05:50:02 UTC,,,
0F6TEWR4ZQ7CHPBGC9D2KGC1HR,2,2417160,2023-01-03 05:50:04 UTC,,,
0F6TEWSDB0F8KBHV6PH7YN6931,3,2417160,2023-01-03 05:50:08 UTC,,,
0F6TEWT29B9KBPMYASY6G7K34V,2,2417160,2023-01-03 05:50:11 UTC,,,
0F6TEWTNPTQF1K4V8G0GKH9YP4,3,2417160,2023-01-03 05:50:13 UTC,,,
0F6TEYY6HHC3E0EDD5KAVJYKN3,1,2417160,2023-01-03 05:53:54 UTC,,,
0F6TEYZBXVX155Y4QA4H7R28E7,0,2417160,2023-01-03 05:53:58 UTC,,,
0F6TEZ07X171XPENB5E6Q79CQH,1,2417160,2023-01-03 05:54:01 UTC,,,
0F6TEZ1690RAZQN4C7Q2P32MWB,2,2417160,2023-01-03 05:54:04 UTC,,,
0F6TEZ25J79ABXSS2SSXCJXEA0,3,2417160,2023-01-03 05:54:07 UTC,,,
0F6TEZ4R8NN4NWRBS70578FGD5,4,2417160,2023-01-03 05:54:15 UTC,,,
0F6TEZ5CTAVCE1TJHQY030D121,5,2417160,2023-01-03 05:54:17 UTC,,,
0F6TEZ6DAEFET18PZJ7TX25NE3,6,2417160,2023-01-03 05:54:21 UTC,,,
0F6TEZ7PW0QHEF0506NHJQDR3R,5,2417160,2023-01-03 05:54:25 UTC,,,
0F6TF0Y7ZN135H6048SPQ7D36G,1,2417160,2023-01-03 05:57:24 UTC,,,
0F6TF10NE606HZ0M54YY19DF0A,2,2417160,2023-01-03 05:57:32 UTC,,,
0F6TF1H7CV7SKZE7RTMCKW2XBQ,1,2417160,2023-01-03 05:58:26 UTC,,,
0F6TF1SF77V6GA07C4MPMYSJDZ,1,2417160,2023-01-03 05:58:53 UTC,,,
0F6TF1VF1D55R5Z9TMVW0Y9NSF,2,2417160,2023-01-03 05:58:59 UTC,,,
0F6TF1X0RR3HFPPF175SKEG7HC,1,2417160,2023-01-03 05:59:05 UTC,,,
0F6TF24C6Y9Q5HGFQWATQ1Y61A,2,2417160,2023-01-03 05:59:29 UTC,,,
0F6TF274HV35CRTG14G36D86MY,3,2417160,2023-01-03 05:59:38 UTC,,,
0F6TF2908SBSE52FA6V2W0QV4N,4,2417160,2023-01-03 05:59:44 UTC,,,
0F6TF2B4EKCDPD3WSHNPP714EM,3,2417160,2023-01-03 05:59:51 UTC,,,
0F6TF2E3753DPQX2C885V5H8CF,4,2417160,2023-01-03 06:00:00 UTC,,,
0F6TF2HQP9ZK89XK3NQ69DJEYJ,3,2417160,2023-01-03 06:00:12 UTC,,,
0F6TF2V7ZXKAVTPDBAA867RKYK,4,2417160,2023-01-03 06:00:44 UTC,,,
0F6TF2XDZYZ5CJAT0HN8DP3JX9,5,2417160,2023-01-03 06:00:51 UTC,,,
0F6TF30B0XX6SH2XXGMQ8R6ZR6,6,2417160,2023-01-03 06:01:00 UTC,,,
0F6TF325KNN0JNF2W96XFECWDW,7,2417160,2023-01-03 06:01:06 UTC,,,
0F6TF34VWKZZPMQCZSR66NMPEA,8,2417160,2023-01-03 06:01:15 UTC,,,
0F6TF38SKDBPQZ0XDVDPBE0W8K,9,2417160,2023-01-03 06:01:28 UTC,,,
0F6TF3A6ZQX95F83B0G7J29FA2,8,2417160,2023-01-03 06:01:33 UTC,,,
0F6TF3CEVMS1MGJ6G6G7M7WDNP,9,2417160,2023-01-03 06:01:40 UTC,,,
0F6TF3DM4K08KPMXDPYWMPQHCJ,8,2417160,2023-01-03 06:01:44 UTC,,,
0F6TF3F2ZNSNSAKDTZJZCZ8SAR,9,2417160,2023-01-03 06:01:49 UTC,,,
0F6XNFT3FDRZ5N7F2MR818NMJ5,1,2417160,2023-01-07 05:27:38 UTC,,,
0F6XNH2WAMB3GD1C497EKY43BV,-1,2417160,2023-01-07 05:29:52 UTC,,,
0F6XNMB0JVBTWF4TTXG2VAT8YM,1,2417160,2023-01-07 05:35:33 UTC,,,
0F6XNN73GAXZ5NYBT48C65JA0C,1,2417160,2023-01-07 05:37:05 UTC,,,
0F6XNNGFS8K160W72VCYR99E2M,1,2417160,2023-01-07 05:37:36 UTC,,,
0F6XNNJST8AJ3144H3RFECCFSP,2,2417160,2023-01-07 05:37:43 UTC,,,
0F6XNNMHR8NED90HKVWFRX366V,1,2417160,2023-01-07 05:37:49 UTC,,,
0F6XNNV5AQSSX32NB6T9J4C7F6,0,2417160,2023-01-07 05:38:11 UTC,,,
0F6XNP8DT4WCWSVF7Z8171Q4E5,1,2417160,2023-01-07 05:38:54 UTC,,,
0F6XNPB16H6K87Q12WKABJATXJ,0,2417160,2023-01-07 05:39:03 UTC,,,
0F6XNPECDP4A5454SZY74E41BQ,1,2417160,2023-01-07 05:39:14 UTC,,,
0F6XNPR0G2X6TVT5XH8ZC4BTXD,0,2417160,2023-01-07 05:39:45 UTC,,,
0F6XNQ0M66XWD79TGPEXMP4SR9,1,2417160,2023-01-07 05:40:14 UTC,,,
0F6XNQ673D35KT0D79BVXHMWDY,0,2417160,2023-01-07 05:40:32 UTC,,,
0F6XNRKGZRAM8MREAG2PCZYN92,-1,2417160,2023-01-07 05:43:00 UTC,,,
0F6XNRMS4BETDA5RJFWZ3D04YE,-2,2417160,2023-01-07 05:43:04 UTC,,,
0F6XNRTP9MNBVDFVA482WZ6548,-1,2417160,2023-01-07 05:43:24 UTC,,,
0F6XNRXANJGQXKEN3ATSG54P4V,1,2417160,2023-01-07 05:43:32 UTC,,,
0F6XNSEP7J03FRXMQKDPBZV6NT,1,2417160,2023-01-07 05:44:29 UTC,,,
0F6XNTVJZ0KSCBQKM5TDM7T1RQ,1,2417160,2023-01-07 05:46:56 UTC,,,
0F6XNTYTE47Q434X4HY7Z26C9Q,0,2417160,2023-01-07 05:47:07 UTC,,,
0F6XNV3MR331C1MDTCNGCECCVS,-1,2417160,2023-01-07 05:47:23 UTC,,,
0F6XNVBM0JZMKCQE8PERHVCNKA,1,2417160,2023-01-07 05:47:49 UTC,,,
0F6XNVKB0112DFPRW4353KZGB7,1,2417160,2023-01-07 05:48:14 UTC,,,
0F6XNVR0WCSVTRQZ6MT44TKC20,0,2417160,2023-01-07 05:48:30 UTC,,,
0F6XNVXMVE22D9X1DK1PKVVZER,1,2417160,2023-01-07 05:48:48 UTC,,,
0F6XNW0RPAMMTXHBGN04RKZNFA,2,2417160,2023-01-07 05:48:58 UTC,,,
0F6XNWTDKSABPEEP8K197WGYAD,1,2417160,2023-01-07 05:50:22 UTC,,,
0F6XNXWX3J7TERRPSB5ESDW72V,1,2417160,2023-01-07 05:52:15 UTC,,,
0F6XNXZ3R9ENXJY8NK3YTTP2FQ,0,2417160,2023-01-07 05:52:23 UTC,,,
0F6XNZF23XAQN8F4T52X3HDV5J,1,2417160,2023-01-07 05:55:00 UTC,,,
0F6XNZR2VCZ5Y8S7CHPD4QT6PC,1,2417160,2023-01-07 05:55:29 UTC,,,
0F6XP0377PA9MCCDCMWGDKGNGG,1,2417160,2023-01-07 05:56:06 UTC,,,
0F6XP04ZNY0FV13108GF3BD8PG,2,2417160,2023-01-07 05:56:12 UTC,,,
0F6XP0A427JR0FZJ8ZQYJQXWXF,1,2417160,2023-01-07 05:56:28 UTC,,,
0F6XP0CV15X9E6708FWECXPVD2,0,2417160,2023-01-07 05:56:37 UTC,,,
0F6XP0MEH6TH8ACTXE1RV00MSY,1,2417160,2023-01-07 05:57:02 UTC,,,
0F6XP0NY6GV89AHEBYNR4H06KK,0,2417160,2023-01-07 05:57:07 UTC,,,
0F6XP27RH2YK0H6N5QP83YK5AR,1,2417160,2023-01-07 05:59:50 UTC,,,
0F6XP29GFPMKHFWYHNFRW6VWMN,2,2417160,2023-01-07 05:59:56 UTC,,,
0F6XP2HPAMAE9Z4R5FVVD9XE4D,1,2417160,2023-01-07 06:00:23 UTC,,,
0F6XP44SF56F99HSKMZSTK614F,1,2417160,2023-01-07 06:03:10 UTC,,,
0F6XP4909BN37J8H3RJJ74QRJ8,2,2417160,2023-01-07 06:03:24 UTC,,,
0F6XP4ZDE52Y3GBSRKEFTZW3BB,1,2417160,2023-01-07 06:04:38 UTC,,,
0F6XP5BKTT1TZN71PPE48ZZ69D,1,2417160,2023-01-07 06:05:18 UTC,,,
0F6XP5G3ZFQ0K2G7QN10D9JKM1,2,2417160,2023-01-07 06:05:32 UTC,,,
0F6XP5J22G5GW5JRSJ4NQ3Y3MJ,3,2417160,2023-01-07 06:05:39 UTC,,,
0F6XP7DC55FY9VWYAYNEK5TZ03,1,2417160,2023-01-07 06:08:53 UTC,,,
0F6XP7H4KV5QA25MC3TAF99Z6K,0,2417160,2023-01-07 06:09:05 UTC,,,
0F6XP7HQEBK6DPMEZVX3JF7B2B,-1,2417160,2023-01-07 06:09:07 UTC,,,
0F6XP7RWZYRD0N1JM92FQ1VNTQ,-2,2417160,2023-01-07 06:09:31 UTC,,,
0F6XQ0SSE02NCQBTD33ZG8S5Y7,1,2417160,2023-01-07 06:53:15 UTC,,,
